No,Search Term,Job Title,Company,Location,Apply Link
47,"generative ai","Generative AI Architect-63324","Hitachi Energy","Hyderabad, India","https://www.foundit.in/job/generative-ai-architect63324-hitachi-energy-hyderabad-india-48293381"
48,"generative ai","Generative AI Engineer","Firstsource","India","https://www.foundit.in/job/generative-ai-engineer-firstsource-india-48393897"
49,"generative ai","Generative AI Engineer","HCLTech","Bengaluru, India","https://www.foundit.in/job/generative-ai-engineer-hcltech-bengaluru-india-48127755"
50,"generative ai","Generative AI Architect","Infogain","India","https://www.foundit.in/job/generative-ai-architect-infogain-india-48088835"
51,"generative ai","Generative AI Architect","Infogain","India","https://www.foundit.in/job/generative-ai-architect-infogain-india-48096510"
52,"generative ai","Generative AI Solutions Engineer","Siemens","Pune, India","https://www.foundit.in/job/generative-ai-solutions-engineer-siemens-pune-india-48126212"
53,"generative ai","Generative AI Engineer","Schneider Electric","Bengaluru, India","https://www.foundit.in/job/generative-ai-engineer-schneider-electric-bengaluru-india-48105500"
54,"generative ai","Generative AI Engineer","Zensar Technologies","Pune, India","https://www.foundit.in/job/generative-ai-engineer-zensar-technologies-pune-india-48067007"
55,"generative ai","Generative AI Architect","Siemens Healthineers","Bengaluru, India","https://www.foundit.in/job/generative-ai-architect-siemens-healthineers-bengaluru-india-48098611"
56,"generative ai","Lead AI Engineer - Generative AI & Agentic AI","Movate","Chennai, India","https://www.foundit.in/job/lead-ai-engineer-generative-ai-agentic-ai-movate-chennai-india-48117273"
57,"generative ai","Forward Deployed Engineer, Generative AI, Google Cloud","Google","Bengaluru, India","https://www.foundit.in/job/forward-deployed-engineer-generative-ai-google-cloud-google-bengaluru-india-48097653"
58,"generative ai","Forward Deployed Engineer, Generative AI, Google Cloud","Google","Bengaluru, India","https://www.foundit.in/job/forward-deployed-engineer-generative-ai-google-cloud-google-bengaluru-india-48099076"
59,"generative ai","Forward Deployed Engineer, Generative AI, Google Cloud","Google","Gurugram, Gurugram, India","https://www.foundit.in/job/forward-deployed-engineer-generative-ai-google-cloud-google-gurugram-gurugram-india-48099088"
60,"generative ai","Senior AI/ML Engineer - NLP & Generative AI","Siemens","Bengaluru","https://www.foundit.in/job/senior-aiml-engineer-nlp-generative-ai-siemens-bengaluru-34565524"
61,"artificial intelligence","Manager - Artificial Intelligence Engineer","Ajanta Pharma","Mumbai, India","https://www.foundit.in/job/manager-artificial-intelligence-engineer-ajanta-pharma-mumbai-india-48313273"
62,"artificial intelligence","Lead Consultant, Artificial Intelligence/Machine Learning","Genpact","Bengaluru","https://www.foundit.in/job/lead-consultant-artificial-intelligencemachine-learning-genpact-bengaluru-48271153"
63,"artificial intelligence","Lead Consultant, Artificial Intelligence/Machine Learning","Genpact","Bengaluru","https://www.foundit.in/job/lead-consultant-artificial-intelligencemachine-learning-genpact-bengaluru-48271123"
64,"artificial intelligence","Data Scientist-Artificial Intelligence","IBM","Gurugram, India","https://www.foundit.in/job/data-scientistartificial-intelligence-ibm-gurugram-india-48066435"
65,"artificial intelligence","Artificial Intelligence Engineer","Recro","Bengaluru, India","https://www.foundit.in/job/artificial-intelligence-engineer-recro-bengaluru-india-48391452"
66,"artificial intelligence","Artificial Intelligence Engineer","NextGen Healthcare","Bengaluru, India","https://www.foundit.in/job/artificial-intelligence-engineer-nextgen-healthcare-bengaluru-india-48388921"
67,"artificial intelligence","Artificial Intelligence Specialist","Crescendo Global","Gurugram, Gurugram, India","https://www.foundit.in/job/artificial-intelligence-specialist-crescendo-global-gurugram-gurugram-india-48393062"
68,"artificial intelligence","Artificial Intelligence Specialist","FastTek Global","Chennai, India","https://www.foundit.in/job/artificial-intelligence-specialist-fasttek-global-chennai-india-48393671"
69,"artificial intelligence","Lead - Artificial Intelligence","E2M","Ahmedabad, India","https://www.foundit.in/job/lead-artificial-intelligence-e2m-ahmedabad-india-48391130"
70,"artificial intelligence","Artificial Intelligence Engineer","HCLTech","Bengaluru, India","https://www.foundit.in/job/artificial-intelligence-engineer-hcltech-bengaluru-india-48133707"
71,"artificial intelligence","Artificial Intelligence Engineer","Tech Mahindra","Bengaluru, India","https://www.foundit.in/job/artificial-intelligence-engineer-tech-mahindra-bengaluru-india-48129689"
72,"artificial intelligence","Artificial Intelligence Engineer","Ajanta Pharma Ltd","Mumbai, India","https://www.foundit.in/job/artificial-intelligence-engineer-ajanta-pharma-ltd-mumbai-india-48089351"
73,"artificial intelligence","Artificial Intelligence Architect","Reliance Industries Limited","Navi Mumbai, Mumbai, India","https://www.foundit.in/job/artificial-intelligence-architect-reliance-industries-limited-navi-mumbai-mumbai-india-48111827"
74,"artificial intelligence","Pine Labs - Data Architect - Artificial Intelligence/Machine Learning","Pine Labs","Noida, India","https://www.foundit.in/job/pine-labs-data-architect-artificial-intelligencemachine-learning-pine-labs-noida-india-48070439"
75,"artificial intelligence","Director - Artificial Intelligence Risk Management","American Express","Gurugram, Gurugram, India","https://www.foundit.in/job/director-artificial-intelligence-risk-management-american-express-gurugram-gurugram-india-48092459"
